year,background,cnt,country,female,age,diffgrade,fisced,misced,momwork,dadwork,hisei,homepos,pcgirls,private,metropolis,scoremath,pv1math,pv2math,pv3math,pv4math,pv5math,stweight,ggi,parliament90,parliament97,flp_90,gdppc,hdi,lgdppc,obs,norigin,stratum2003,hostregion,stratum2006,stratum2009,stratum2012
2009,Bolivia,ARG,Argentina,0,15.42000008,1,2,2,,1,45,-1.604799986,0.248649001,0,1,382.93399,423.5899963,374.519989,356.6099854,390.8800049,369.0700073,63.44609833,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,15.75,0,,,1,1,22.57,-1.17,0.442,0,0,310.88177,315.088,305.7408,312.7512,299.5093,321.3195,106.8836,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3205,,,ARG0005
2012,Bolivia,ARG,Argentina,1,15.58,0,4,0,0,1,21.24,-1.84,0.333,0,1,405.0553,407.2363,386.205,402.5627,386.984,442.2885,13.1002,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.5,1,4,4,1,1,88.31,-0.32,0.545,0,1,329.42047,363.0706,327.2394,325.6816,314.7764,316.3343,50.302,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,16,0,,0,0,,,-1.71,0.556,0,1,370.47049,373.2747,356.917,368.601,440.2633,313.2965,17.7581,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,16,1,2,1,1,1,39.04,-0.73,0.556,0,1,311.58279,292.4209,285.4105,299.4314,391.346,289.3052,32.1044,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.75,0,0,4,,1,22.57,-2.68,0.112,0,1,435.58966,410.6637,439.4843,448.8316,459.7367,419.232,24.4368,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.42,0,,1,1,0,24.53,-0.23,0.571,0,1,410.97525,400.5375,374.0536,395.0849,426.2424,458.9578,23.2037,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,15.42000008,1,,4,1,,43,-2.085500002,0.248649001,0,1,419.388,422.0400085,420.480011,408.7900085,432.9400024,412.6900024,46.87779999,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,15.58,0,,4,0,,,-1.22,0.571,0,1,407.7037,401.628,405.5227,383.7124,385.2703,462.3851,23.2037,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
